Fitting 3 folds for each of 192 candidates, totalling 576 fits
[CV] END learning_rate=0.1, max_depth=6, n_estimators=300, scale_pos_weight=1, subsample=0.6; total time=  11.0s
[CV] END learning_rate=0.1, max_depth=18, n_estimators=300, scale_pos_weight=6.4095, subsample=1.0; total time=  41.6s
[CV] END learning_rate=0.5, max_depth=18, n_estimators=300, scale_pos_weight=1, subsample=0.6; total time=  25.0s
[CV] END learning_rate=0.9, max_depth=12, n_estimators=200, scale_pos_weight=6.4095, subsample=0.6; total time=  18.1s
[CV] END learning_rate=0.95, max_depth=6, n_estimators=100, scale_pos_weight=6.4095, subsample=1.0; total time=   3.4s
[CV] END learning_rate=0.95, max_depth=6, n_estimators=300, scale_pos_weight=6.4095, subsample=0.6; total time=  11.5s
[CV] END learning_rate=0.95, max_depth=18, n_estimators=200, scale_pos_weight=1, subsample=1.0; total time=   5.9s
[CV] END learning_rate=0.95, max_depth=20, n_estimators=100, scale_pos_weight=6.4095, subsample=1.0; total time=   5.1s
[CV] END learning_rate=0.1, max_depth=12, n_estimators=100, scale_pos_weight=6.4095, subsample=0.6; total time=   7.6s
[CV] END learning_rate=0.1, max_depth=18, n_estimators=200, scale_pos_weight=6.4095, subsample=0.6; total time=  27.2s
[CV] END learning_rate=0.5, max_depth=6, n_estimators=300, scale_pos_weight=6.4095, subsample=1.0; total time=   9.8s
[CV] END learning_rate=0.5, max_depth=12, n_estimators=300, scale_pos_weight=1, subsample=0.6; total time=  25.6s
[CV] END learning_rate=0.9, max_depth=6, n_estimators=100, scale_pos_weight=6.4095, subsample=1.0; total time=   3.4s
[CV] END learning_rate=0.9, max_depth=6, n_estimators=300, scale_pos_weight=6.4095, subsample=1.0; total time=   9.8s
[CV] END learning_rate=0.9, max_depth=18, n_estimators=200, scale_pos_weight=1, subsample=0.6; total time=  20.9s
[CV] END learning_rate=0.95, max_depth=12, n_estimators=200, scale_pos_weight=1, subsample=0.6; total time=  17.8s
[CV] END learning_rate=0.1, max_depth=12, n_estimators=200, scale_pos_weight=1, subsample=1.0; total time=  15.4s
[CV] END learning_rate=0.1, max_depth=20, n_estimators=100, scale_pos_weight=6.4095, subsample=1.0; total time=  15.4s
[CV] END learning_rate=0.5, max_depth=6, n_estimators=200, scale_pos_weight=1, subsample=0.6; total time=   8.6s
[CV] END learning_rate=0.5, max_depth=12, n_estimators=200, scale_pos_weight=1, subsample=0.6; total time=  17.6s
[CV] END learning_rate=0.5, max_depth=18, n_estimators=300, scale_pos_weight=6.4095, subsample=0.6; total time=  25.7s
[CV] END learning_rate=0.9, max_depth=18, n_estimators=100, scale_pos_weight=6.4095, subsample=0.6; total time=  14.1s
[CV] END learning_rate=0.95, max_depth=6, n_estimators=200, scale_pos_weight=6.4095, subsample=0.6; total time=   8.0s
[CV] END learning_rate=0.95, max_depth=12, n_estimators=200, scale_pos_weight=6.4095, subsample=0.6; total time=  17.4s
[CV] END learning_rate=0.1, max_depth=12, n_estimators=100, scale_pos_weight=1, subsample=1.0; total time=   9.0s
[CV] END learning_rate=0.1, max_depth=18, n_estimators=300, scale_pos_weight=1, subsample=0.6; total time=  42.2s
[CV] END learning_rate=0.5, max_depth=18, n_estimators=200, scale_pos_weight=6.4095, subsample=1.0; total time=   9.9s
[CV] END learning_rate=0.5, max_depth=20, n_estimators=200, scale_pos_weight=1, subsample=1.0; total time=  10.0s
[CV] END learning_rate=0.9, max_depth=6, n_estimators=200, scale_pos_weight=1, subsample=1.0; total time=   7.1s
[CV] END learning_rate=0.9, max_depth=12, n_estimators=200, scale_pos_weight=6.4095, subsample=1.0; total time=  10.5s
[CV] END learning_rate=0.9, max_depth=20, n_estimators=100, scale_pos_weight=6.4095, subsample=0.6; total time=  15.5s
[CV] END learning_rate=0.95, max_depth=12, n_estimators=200, scale_pos_weight=1, subsample=0.6; total time=  18.0s
[CV] END learning_rate=0.1, max_depth=12, n_estimators=200, scale_pos_weight=6.4095, subsample=1.0; total time=  14.1s
[CV] END learning_rate=0.1, max_depth=20, n_estimators=100, scale_pos_weight=6.4095, subsample=0.6; total time=  14.4s
[CV] END learning_rate=0.5, max_depth=6, n_estimators=100, scale_pos_weight=6.4095, subsample=1.0; total time=   3.2s
[CV] END learning_rate=0.5, max_depth=6, n_estimators=200, scale_pos_weight=6.4095, subsample=1.0; total time=   6.3s
[CV] END learning_rate=0.5, max_depth=12, n_estimators=100, scale_pos_weight=6.4095, subsample=0.6; total time=   8.6s
[CV] END learning_rate=0.5, max_depth=18, n_estimators=100, scale_pos_weight=1, subsample=0.6; total time=  13.9s
[CV] END learning_rate=0.5, max_depth=20, n_estimators=100, scale_pos_weight=6.4095, subsample=1.0; total time=   9.0s
[CV] END learning_rate=0.9, max_depth=6, n_estimators=100, scale_pos_weight=1, subsample=0.6; total time=   3.9s
[CV] END learning_rate=0.9, max_depth=6, n_estimators=300, scale_pos_weight=6.4095, subsample=0.6; total time=  11.8s
[CV] END learning_rate=0.9, max_depth=18, n_estimators=300, scale_pos_weight=1, subsample=1.0; total time=   6.8s
[CV] END learning_rate=0.9, max_depth=20, n_estimators=300, scale_pos_weight=1, subsample=0.6; total time=  24.3s
[CV] END learning_rate=0.95, max_depth=20, n_estimators=100, scale_pos_weight=6.4095, subsample=1.0; total time=   6.1s
[CV] END learning_rate=0.1, max_depth=12, n_estimators=200, scale_pos_weight=6.4095, subsample=1.0; total time=  13.8s
[CV] END learning_rate=0.1, max_depth=20, n_estimators=100, scale_pos_weight=1, subsample=1.0; total time=  14.1s
[CV] END learning_rate=0.5, max_depth=6, n_estimators=100, scale_pos_weight=1, subsample=1.0; total time=   3.1s
[CV] END learning_rate=0.5, max_depth=6, n_estimators=200, scale_pos_weight=1, subsample=1.0; total time=   6.2s
[CV] END learning_rate=0.5, max_depth=12, n_estimators=100, scale_pos_weight=1, subsample=1.0; total time=   7.2s
[CV] END learning_rate=0.5, max_depth=12, n_estimators=200, scale_pos_weight=6.4095, subsample=1.0; total time=  16.0s
[CV] END learning_rate=0.5, max_depth=20, n_estimators=100, scale_pos_weight=6.4095, subsample=1.0; total time=   9.2s
[CV] END learning_rate=0.9, max_depth=6, n_estimators=100, scale_pos_weight=1, subsample=1.0; total time=   3.9s
[CV] END learning_rate=0.9, max_depth=6, n_estimators=300, scale_pos_weight=6.4095, subsample=1.0; total time=  10.9s
[CV] END learning_rate=0.9, max_depth=18, n_estimators=200, scale_pos_weight=6.4095, subsample=1.0; total time=   6.1s
[CV] END learning_rate=0.9, max_depth=20, n_estimators=200, scale_pos_weight=6.4095, subsample=0.6; total time=  24.2s
[CV] END learning_rate=0.95, max_depth=18, n_estimators=300, scale_pos_weight=6.4095, subsample=1.0; total time=   7.7s
[CV] END learning_rate=0.1, max_depth=6, n_estimators=100, scale_pos_weight=6.4095, subsample=0.6; total time=   3.9s
[CV] END learning_rate=0.1, max_depth=18, n_estimators=100, scale_pos_weight=1, subsample=1.0; total time=  11.6s
[CV] END learning_rate=0.1, max_depth=20, n_estimators=100, scale_pos_weight=6.4095, subsample=0.6; total time=  14.4s
[CV] END learning_rate=0.5, max_depth=6, n_estimators=100, scale_pos_weight=6.4095, subsample=1.0; total time=   3.2s
[CV] END learning_rate=0.5, max_depth=6, n_estimators=300, scale_pos_weight=1, subsample=1.0; total time=   9.5s
[CV] END learning_rate=0.5, max_depth=12, n_estimators=200, scale_pos_weight=6.4095, subsample=0.6; total time=  17.8s
[CV] END learning_rate=0.5, max_depth=20, n_estimators=100, scale_pos_weight=6.4095, subsample=0.6; total time=  15.8s
[CV] END learning_rate=0.9, max_depth=12, n_estimators=200, scale_pos_weight=1, subsample=1.0; total time=  10.5s
[CV] END learning_rate=0.9, max_depth=18, n_estimators=300, scale_pos_weight=6.4095, subsample=0.6; total time=  22.0s
[CV] END learning_rate=0.95, max_depth=18, n_estimators=100, scale_pos_weight=1, subsample=0.6; total time=  14.1s
[CV] END learning_rate=0.1, max_depth=6, n_estimators=300, scale_pos_weight=6.4095, subsample=0.6; total time=  13.3s
[CV] END learning_rate=0.1, max_depth=20, n_estimators=100, scale_pos_weight=1, subsample=0.6; total time=  14.2s
[CV] END learning_rate=0.5, max_depth=6, n_estimators=100, scale_pos_weight=1, subsample=0.6; total time=   3.5s
[CV] END learning_rate=0.5, max_depth=6, n_estimators=200, scale_pos_weight=1, subsample=1.0; total time=   6.2s
[CV] END learning_rate=0.5, max_depth=12, n_estimators=100, scale_pos_weight=1, subsample=1.0; total time=   7.6s
[CV] END learning_rate=0.5, max_depth=12, n_estimators=300, scale_pos_weight=1, subsample=1.0; total time=  20.0s
[CV] END learning_rate=0.5, max_depth=20, n_estimators=300, scale_pos_weight=1, subsample=0.6; total time=  24.6s
